lr_rank,rider,Team,rating,Pct25Time,WinScore
1,Evenepoel Remco,Soudal Quick-Step,0.9690000000000001,1.0,0.96
2,Tarling Joshua,INEOS Grenadiers,0.941,1.0,0.93
3,Ganna Filippo,INEOS Grenadiers,0.888,1.0,0.85
4,Kung Stefan,Groupama-FDJ,0.7490000000000001,1.0,0.65
5,Pogacar Tadej,UAE Team Emirates,0.736,1.0,0.58
6,Roglic Primoz,BORA-hansgrohe,0.72,1.0,0.64
7,Vingegaard Jonas,Team Visma | Lease a Bike,0.684,1.0,0.66
8,van Aert Wout,Team Visma | Lease a Bike,0.6709999999999999,0.889,0.57
9,Foss Tobias,INEOS Grenadiers,0.6579999999999999,1.0,0.61
10,Ayuso Juan,UAE Team Emirates,0.6509999999999999,1.0,0.61
11,Lampaert Yves,Soudal Quick-Step,0.575,0.8,0.51
12,Almeida Joao,UAE Team Emirates,0.564,1.0,0.46
13,Pedersen Mads,Lidl-Trek,0.551,0.75,0.58
14,Cavagna Remi,Soudal Quick-Step,0.551,1.0,0.49
15,Waerenskjold Soren,Uno-X Mobility,0.5489999999999999,0.8,0.49
16,Sheffield Magnus,INEOS Grenadiers,0.5489999999999999,0.889,0.5
17,Bjerg Mikkel,UAE Team Emirates,0.537,0.813,0.45
18,Thomas Geraint,INEOS Grenadiers,0.534,0.846,0.45
19,Wellens Tim,UAE Team Emirates,0.528,0.75,0.48
20,Vauquelin Kevin,ARKEA-B&B HOTELS,0.523,0.778,0.53
21,Bissegger Stefan,EF Education-EasyPost,0.522,0.8,0.43
22,Vine Jay,UAE Team Emirates,0.52,0.833,0.42
23,Hayter Ethan,INEOS Grenadiers,0.5,0.889,0.5
24,Cattaneo Mattia,Soudal Quick-Step,0.494,0.857,0.39
25,Vlasov Aleksandr,BORA-hansgrohe,0.47200000000000003,1.0,0.36
26,Armirail Bruno,Groupama-FDJ,0.473,0.9329999999999999,0.41
27,van der Poel Mathieu,Alpecin-Deceuninck,0.47100000000000003,0.833,0.48
28,McNulty Brandon,UAE Team Emirates,0.46799999999999997,0.615,0.4
29,Arensman Thymen,INEOS Grenadiers,0.469,0.818,0.41
30,Martinez Daniel,BORA-hansgrohe,0.45299999999999996,0.875,0.39
31,Skjelmose Mattias,Lidl-Trek,0.439,1.0,0.51
32,Oliveira Nelson,Movistar Team,0.419,0.75,0.32
33,Wright Fred,Bahrain Victorious,0.40700000000000003,0.833,0.34
34,Asgreen Kasper,Soudal Quick-Step,0.402,0.875,0.32
35,Suter Joel,Tudor Pro Cycling Team,0.397,0.8,0.41
36,Sobrero Matteo,BORA-hansgrohe,0.39399999999999996,0.917,0.34
37,Geoghegan Hart Tao,Lidl-Trek,0.389,0.75,0.29
38,Mollema Bauke,Lidl-Trek,0.386,0.833,0.3
39,Dennis Rohan,Retired,0.365,0.7140000000000001,0.3
40,Hoole Daan,Lidl-Trek,0.36200000000000004,0.75,0.28
41,Van Wilder Ilan,Soudal Quick-Step,0.354,0.75,0.34
42,Tratnik Jan,Team Visma | Lease a Bike,0.349,0.667,0.25
43,Schachmann Max,BORA-hansgrohe,0.349,0.6,0.27
44,Vernon Ethan,Israel-Premier Tech,0.336,0.75,0.38
45,Bettiol Alberto,EF Education-EasyPost,0.33299999999999996,0.556,0.29
46,Healy Ben,EF Education-EasyPost,0.32899999999999996,0.6,0.27
47,Yates Adam,UAE Team Emirates,0.32799999999999996,0.7,0.3
48,Cerny Josef,Soudal Quick-Step,0.324,0.6,0.29
49,Kamna Lennard,BORA-hansgrohe,0.322,0.909,0.23
50,Larsen Niklas,Uno-X Mobility,0.319,1.0,0.4
51,Yates Simon,Team Jayco-AlUla,0.313,0.6,0.31
52,Herregodts Rune,Intermarche-Wanty,0.302,0.556,0.26
53,Edmondson Alex,Team dsm-firmenich PostNL,0.301,0.5,0.33
54,Zijlaard Maikel,Tudor Pro Cycling Team,0.298,1.0,0.53
55,Affini Edoardo,Team Visma | Lease a Bike,0.29600000000000004,0.857,0.2
56,Campenaerts Victor,Lotto Dstny,0.29100000000000004,0.5,0.35
57,Fisher-Black Finn,UAE Team Emirates,0.29100000000000004,0.625,0.27
58,Powless Neilson,EF Education-EasyPost,0.285,0.8,0.21
59,Stuyven Jasper,Lidl-Trek,0.28,0.5,0.23
60,Castroviejo Jonathan,INEOS Grenadiers,0.278,0.6,0.24
61,Price-Pejtersen Johan,Bahrain Victorious,0.275,0.667,0.26
62,Politt Nils,UAE Team Emirates,0.273,0.6,0.22
63,Tulett Ben,Team Visma | Lease a Bike,0.271,0.667,0.27
64,Mohoric Matej,Bahrain Victorious,0.268,0.4,0.2
65,Gregoire Romain,Groupama-FDJ,0.267,0.75,0.24
66,Vermeersch Florian,Lotto Dstny,0.266,0.7140000000000001,0.25
67,Hepburn Michael,Team Jayco-AlUla,0.264,0.778,0.24
68,O'Connor Ben,Decathlon AG2R La Mondiale Team,0.263,0.727,0.24
69,Jorgenson Matteo,Team Visma | Lease a Bike,0.26,0.5710000000000001,0.24
70,Thomas Benjamin,Cofidis,0.256,0.75,0.28
71,Steimle Jannik,Q36.5 Pro Cycling Team,0.255,1.0,0.34
72,Sivakov Pavel,UAE Team Emirates,0.253,0.75,0.23
73,Kepplinger Rainer,Bahrain Victorious,0.248,0.667,0.24
74,Latour Pierre,TotalEnergies,0.247,0.5,0.2
75,Bax Sjoerd,UAE Team Emirates,0.24600000000000002,0.6,0.25
76,Gate Aaron,Burgos - BH,0.24600000000000002,0.75,0.4
77,Swift Connor,INEOS Grenadiers,0.243,0.667,0.21
78,Norman Leth Lasse,Team CO:PLAY-Giant Store,0.242,1.0,0.38
79,Guernalec Thibault,ARKEA-B&B HOTELS,0.24100000000000002,0.667,0.23
80,Durbridge Luke,Team Jayco-AlUla,0.239,0.5710000000000001,0.21
81,Grossschartner Felix,UAE Team Emirates,0.239,0.4,0.26
82,Caruso Damiano,Bahrain Victorious,0.23600000000000002,0.364,0.17
83,Matthews Michael,Team Jayco-AlUla,0.235,0.667,0.18
84,Barta William,Movistar Team,0.23199999999999998,0.556,0.25
85,Bodnar Maciej,Retired,0.22899999999999998,0.5,0.15
86,Rodriguez Carlos,INEOS Grenadiers,0.21100000000000002,0.75,0.19
87,Bol Cees,Astana Qazaqstan Team,0.207,0.429,0.23
88,Heidemann Miguel,Team Felt Felbermayr,0.207,0.778,0.18
89,Cort Magnus,Uno-X Mobility,0.207,0.556,0.17
90,Oliveira Ivo,UAE Team Emirates,0.20199999999999999,0.4,0.19
91,Milan Jonathan,Lidl-Trek,0.20199999999999999,0.5,0.15
92,Kluckers Arthur,Tudor Pro Cycling Team,0.2,0.5710000000000001,0.21
93,Plapp Lucas,Team Jayco-AlUla,0.198,0.5710000000000001,0.16
94,Pedersen Casper,Soudal Quick-Step,0.19399999999999998,0.667,0.19
95,Laporte Christophe,Team Visma | Lease a Bike,0.19,0.5,0.15
96,van Dijke Tim,Team Visma | Lease a Bike,0.187,0.75,0.25
97,Kragh Andersen Soren,Alpecin-Deceuninck,0.188,0.667,0.21
98,Gee Derek,Israel-Premier Tech,0.185,0.556,0.12
99,Trentin Matteo,Tudor Pro Cycling Team,0.182,0.5,0.15
100,Kwiatkowski Michal,INEOS Grenadiers,0.179,0.545,0.14
101,Norsgaard Mathias,Movistar Team,0.17800000000000002,0.25,0.19
102,De Plus Laurens,INEOS Grenadiers,0.17600000000000002,0.375,0.13
103,Vacek Mathias,Lidl - Trek,0.175,0.667,0.14
104,Carr Simon,EF Education-EasyPost,0.17300000000000001,0.5710000000000001,0.19
105,Van Moer Brent,Lotto Dstny,0.17300000000000001,0.545,0.2
106,Kirsch Alex,Lidl-Trek,0.172,0.6,0.18
107,Denz Nico,BORA-hansgrohe,0.171,0.4,0.14
108,Soler Marc,UAE Team Emirates,0.16699999999999998,0.2,0.11
109,Eekhoff Nils,Team dsm-firmenich PostNL,0.16699999999999998,0.14300000000000002,0.16
110,Poole Max,Team dsm-firmenich PostNL,0.166,0.5710000000000001,0.13
111,Schmid Mauro,Team Jayco-AlUla,0.166,0.875,0.24
112,Bilbao Pello,Bahrain Victorious,0.16399999999999998,0.778,0.21
113,de Bod Stefan,EF Education-EasyPost,0.162,0.444,0.11
114,Frison Frederik,Q36.5 Pro Cycling Team,0.16,0.5,0.14
115,Welsford Sam,BORA-hansgrohe,0.157,0.429,0.19
116,Craddock Lawson,Team Jayco-AlUla,0.156,0.4,0.12
117,Van Emden Jos,Retired,0.155,0.5,0.16
118,Davy Clement,Groupama - FDJ,0.153,0.375,0.15
119,Hirschi Marc,UAE Team Emirates,0.152,0.33299999999999996,0.14
120,Tiberi Antonio,Bahrain Victorious,0.147,0.5,0.12
121,Kelderman Wilco,Team Visma | Lease a Bike,0.146,0.5,0.12
122,Hindley Jai,BORA-hansgrohe,0.145,0.556,0.13
123,Alaphilippe Julian,Soudal Quick-Step,0.14400000000000002,0.28600000000000003,0.13
124,Arndt Nikias,Bahrain Victorious,0.142,0.846,0.13
125,Bouwman Koen,Team Visma | Lease a Bike,0.141,0.375,0.12
126,Ulissi Diego,UAE Team Emirates,0.135,0.25,0.15
127,Gautherat Pierre,Decathlon AG2R La Mondiale Team,0.134,0.5,0.18
128,van Gestel Dries,TotalEnergies,0.132,0.25,0.14
129,van Dijke Mick,Team Visma | Lease a Bike,0.129,0.5710000000000001,0.15
130,Ilic Ognjen,,0.128,0.4,0.06
131,Leknessund Andreas,Uno-X Mobility,0.126,0.615,0.08
132,Azparren Xabier,Q36.5 Pro Cycling Team,0.124,0.4,0.09
133,Quinn Sean,EF Education-EasyPost,0.124,0.455,0.13
134,Kooij Olav,Team Visma | Lease a Bike,0.124,0.28600000000000003,0.17
135,Mullen Ryan,EF Education-EasyPost,0.12300000000000001,0.667,0.09
136,Kuss Sepp,Team Visma | Lease a Bike,0.11900000000000001,0.222,0.07
137,Cabot Jeremy,St Michel - Mavic - Auber93,0.11800000000000001,0.5,0.17
138,van Baarle Dylan,Team Visma | Lease a Bike,0.11800000000000001,0.444,0.09
139,Zingle Axel,Cofidis,0.11599999999999999,0.25,0.12
140,Brenner Marco,Tudor Pro Cycling Team,0.11599999999999999,0.3,0.11
141,Mas Enric,Movistar Team,0.11599999999999999,0.5,0.08
142,Paleni Enzo,Groupama-FDJ,0.11599999999999999,0.429,0.11
143,Gibbons Ryan,Lidl-Trek,0.11599999999999999,0.4,0.08
144,De La Cruz David,Q36.5 Pro Cycling Team,0.115,0.5,0.1
145,Currie Logan,Lotto Dstny,0.114,0.75,0.19
146,Lutsenko Alexey,Astana Qazaqstan Team,0.114,0.33299999999999996,0.08
147,Herrada Jesus,Cofidis,0.113,0.4,0.11
148,Haig Jack,Bahrain Victorious,0.111,0.33299999999999996,0.07
149,O'Brien Kelland,Team Jayco-AlUla,0.106,0.25,0.1
150,Osborne Jason,Alpecin-Deceuninck,0.106,0.16699999999999998,0.1
151,Jungels Bob,BORA-hansgrohe,0.10400000000000001,0.33299999999999996,0.08
152,Fuglsang Jakob,Israel-Premier Tech,0.10400000000000001,0.25,0.11
153,Heiduk Kim,INEOS Grenadiers,0.10300000000000001,0.33299999999999996,0.09
154,Uijtdebroeks Cian,Team Visma | Lease a Bike,0.10099999999999999,0.33299999999999996,0.08
155,Maciejuk Filip,BORA-hansgrohe,0.10099999999999999,0.5710000000000001,0.09
156,Cosnefroy Benoit,Decathlon AG2R La Mondiale Team,0.1,0.222,0.12
157,Watson Samuel,Groupama-FDJ,0.1,0.25,0.1
158,Izagirre Ion,Cofidis,0.1,0.444,0.09
159,Romeo Ivan,Movistar Team,0.099,0.4,0.13
160,Bregnhoj Mathias,,0.099,0.5,0.15
161,Demare Arnaud,ARKEA-B&B HOTELS,0.098,0.16699999999999998,0.11
162,Gaudu David,Groupama-FDJ,0.098,0.5,0.07
163,Tejada Harold,,0.09699999999999999,0.364,0.08
164,Bennett Sam,Decathlon AG2R La Mondiale Team,0.096,0.33299999999999996,0.14
165,van Poppel Danny,BORA-hansgrohe,0.094,0.125,0.09
166,Velasco Simone,Astana Qazaqstan Team,0.09300000000000001,0.33299999999999996,0.06
167,Masnada Fausto,Soudal Quick-Step,0.09300000000000001,0.5,0.09
168,Gregaard Jonas,Lotto Dstny,0.09300000000000001,0.33299999999999996,0.1
169,Baudin Alex,Decathlon AG2R La Mondiale Team,0.092,0.25,0.09
170,Skujins Toms,Lidl-Trek,0.09,0.231,0.07
171,Pidcock Tom,INEOS Grenadiers,0.091,0.375,0.06
172,Costiou Ewen,ARKEA-B&B HOTELS,0.09,0.28600000000000003,0.14
173,Geniets Kevin,Groupama-FDJ,0.086,0.222,0.08
174,Costa Rui,EF Education-EasyPost,0.08199999999999999,0.33299999999999996,0.07
